,"AAL.L","ABF.L","ADM.L","AGK.L","AMEC.L","ANTO.L","ARM.L","ATST.L","AU.L","AV.L","AZN.L","BA.L","BARC.L","BATS.L","BAY.L","BG.L","BLND.L","BLT.L","BNZL.L","BP.L","III.L","BSY.L","BT-A.L","BRBY.L","CNE.L","CPI.L","CCL.L","CNA.L","COB.L","CPG.L","DGE.L","ENRC.L","EXPN.L","FRES.L","GFS.L","GSK.L","HMSO.L","HSBA.L","IAP.L","IMT.L","ISAT.L","IHG.L","IPR.L","ITRK.L","ISYS.L","INVP.L","JMAT.L","KAZ.L","KGF.L","LAND.L","LGEN.L","LII.L","LLOY.L","LMI.L","LSE.L","EMG.L","MKS.L","MRW.L","NG.L","NXT.L","OML.L","PSON.L","PFC.L","PRU.L","RRS.L","RB.L","REL.L","REX.L","RIO.L","RR.L","RBS.L","RDSA.L","RSA.L","SAB.L","SGE.L","SBRY.L","SDR.L","SDRC.L","SSE.L","SGRO.L","SRP.L","SVT.L","SHP.L","SN.L","SMIN.L","STAN.L","SL.L","TSCO.L","TCG.L","TT.L","TLW.L","ULVR.L","UU.L","VED.L","VOD.L","WTB.L","WOS.L","WPP.L","XTA.L"
Jun-91,,263.76875,,,211.775,20.72,,130.395,,468.6098915,,142.289412,106.0657475,275.1897605,162.4906145,116.443909,215.7250395,,90.665379,166.9875,,,257.5957285,,126.9021455,7.3686445,,,14.2746188888889,,493.089774,,,,,622.275,530.198785,,,,,,114.915519,,490.15042,,294.232821,,181.3813345,449.573939,38.737805,,71.9706090314707,2716.34299785916,,,250.060011,43.260605,,25.0375,,310.7971065,,223.4372285,,732.688381,207.297758,90.8803668331565,456.8871435,,46.3217795,599.197712,297.402291,,4.917,353.6000455,132.973488,95.0279705,253.916666666667,6.73213884068103,14.7220345,,,137.659406,255.763926,85.890625,,,,,,,,,,,,,
May-91,,257.333333333333,,,218.452380952381,20.266,,128.819047619048,,476.366235714286,,144.331608571429,107.878505238095,265.855778571429,158.747032857143,112.787196666667,217.582366666667,,91.0439285714286,166.916666666667,,,258.261611904762,,146.596165714286,7.60403,,,15.2423176470588,,471.661765714286,,,,,562.708333333333,553.011303333333,,,,,,113.553483809524,,444.7068,,303.78548952381,,179.775410952381,467.526126190476,39.8767109523809,,75.0277945601351,2865.28214232507,,,255.289238571429,43.5069142857143,,26.2142857142857,,324.71983047619,,220.208213333333,,704.676829047619,212.218621428571,88.4818506531984,441.237881714286,,47.4049795238095,594.293156086957,302.240269047619,,4.85,373.109966190476,135.713223333333,97.1418838095238,,6.9694969238504,14.2613542857143,,,130.058826190476,265.806968571429,92.0476190476191,,,,,,,,,,,,,
Apr-91,,253.886904761905,,,237.573044285714,19.9657142857143,,127.445238095238,,494.429344285714,,150.976805714286,111.737778571429,271.038787619048,155.483309047619,116.491252857143,224.750271428571,,95.7638376190476,172.083333333333,,,252.025411904762,,153.250117142857,7.77203666666667,,,16.4453495,,458.377978095238,,,,,548.205357142857,564.82607,,,,,,110.551812380952,,474.559180952381,,324.51878,,180.748431428571,482.653231904762,41.6618295238095,,76.1173792030841,2981.11367663921,,,258.240351904762,41.8236490476191,,25.5119047619048,,321.25340047619,,229.42743,,713.541911904762,223.815596666667,91.9129656791981,456.206099428571,,49.2780304761905,570.368205,304.182576666667,,4.76666666666667,364.670782857143,136.644267619048,96.7395195238095,,6.98462165627357,14.0010828571429,,,131.939254761905,284.612326190476,96.577380952381,,,,,,,,,,,,,
Mar-91,,238.8625,,,248.478026,18.668,,128.035,,500.196476,,150.720254,109.069547,268.58536,158.9858195,115.14554,239.502945,,86.4893375,168,,,233.6313105,,183.6302135,7.3741585,,,16.4772394736842,,431.62893,,,,,511.46875,573.008303,,,,,,112.738551538462,,463.944415,,316.421193,,165.908327,491.6448625,40.7628835,,76.8538084983455,2749.56381154558,,,244.6058505,37.3235165,,29.5125,,327.3134925,,226.796147,,659.191654,215.846904,86.5169454155983,445.2080982,,50.654346,546.971703333333,306.8421905,,4.822083,336.178034,131.38387,91.8202095,,7.3172660477364,13.37972,,,122.480824,273.8318185,87.615625,,,,,,,,,,,,,
Feb-91,,241.365625,,,223.9805295,14.376,,113.4,,482.8882685,,133.459601,94.724657,250.231549,140.9945475,111.5370075,232.265564,,73.6964031578947,157.7,,,208.9838115,,176.467803,5.7442285,,,13.2213584210526,,399.2016195,,,,,464.6875,557.1544835,,,,,,,,374.813585,,270.912264,,148.7895565,492.556024,36.8009735,,73.1952844533218,2341.75218355843,,,238.647843,33.590351,,24.95,,297.2653125,,210.3560695,,634.170747,200.118505,75.1928053978156,407.31574035,,46.6385225,501.5379615,290.1986875,,3.736022,324.387687,115.4876795,75.765755,,6.81754328766647,12.463409,,,104.684798,256.4866395,66.35625,,,,,,,,,,,,,
Jan-91,,224.670454545455,,,191.136105,11.78,,101.554545454545,,434.836059545455,,128.316363636364,85.0951822727273,222.152387727273,131.150626363636,106.6317,209.592109545455,,61.4582475,156.125,,,193.189083181818,,210.837799090909,5.81673181818182,,,12.0210619047619,,378.868263636364,,,,,420.130681818182,521.68123,,,,,,,,345.405163636364,,237.395326363636,,138.890144545455,471.370238181818,33.1960036363636,,66.0535523845383,2258.69699358333,,,226.920766818182,31.2977759090909,,15.5284090909091,,271.46425,,188.430505909091,,588.319624090909,184.644367727273,66.8728299296445,351.671534045455,,40.8296418181818,485.795846086957,262.454009090909,,3.70746681818182,306.736152727273,109.895447727273,67.5905904545455,,6.20322088463296,11.9134795454545,,,104.615126363636,229.004670909091,55.0198863636364,,,,,,,,,,,,,
Dec-90,,207.026315789474,,,196.41111631579,13.0105263157895,,105.331578947368,,460.740240526316,,127.057466842105,89.1096531578947,226.409214210526,140.475529473684,108.708482631579,216.399180526316,,69.8243055555555,166.210526315789,,,201.109481578947,,256.015224210526,5.88988105263158,,,11.2716036842105,,387.069443684211,,,,,426.736842105263,536.457977368421,,,,,,,,358.128610526316,,229.39059631579,,139.296697894737,479.310136315789,34.9028026315789,,68.0465890622162,2451.08821337894,,,228.641145789474,31.6007757894737,,17.4078947368421,,284.664108421053,,193.293607894737,,592.520490526316,189.221448421053,71.2887397406392,369.138050526316,,41.2256857894737,502.572572380952,267.941193157895,,3.86326736842105,296.726046315789,114.596126842105,70.8425221052632,,6.66036771216275,11.3849068421053,,,107.829014210526,231.574684210526,66.8881578947368,,,,,,,,,,,,,
Nov-90,,198.3125,,,184.434826363636,14.1272727272727,,102.495454545455,,446.070508636364,,128.35727,87.3140709090909,215.77368,133.596084090909,104.749542272727,218.084532272727,,60.6395059090909,167.659090909091,,,188.747271818182,,270.837486818182,6.14248318181818,,,11.8568409090909,,367.265536363636,,,,,390.886363636364,512.000037142857,,,,,,,,307.911468181818,,211.893185454545,,141.676519545455,469.447695,33.9018704545454,,65.6053972819506,2196.26093071844,,,235.297249545455,30.1389409090909,,25.8977272727273,,276.258430454545,,192.980806363636,,578.378085,185.517846818182,67.5517848806845,351.037874727273,,38.6200931818182,496.642442272727,255.997062272727,,3.92338090909091,292.240556818182,113.338312272727,73.5509086363636,,6.38031827890051,11.0000940909091,,,111.086408636364,220.029386363636,64.5113636363636,,,,,,,,,,,,,
Oct-90,,199.649456521739,,,184.330685652174,15.6608695652174,,101.982608695652,,437.03834826087,,132.237520434783,86.1668543478261,212.947856521739,137.644219130435,102.331193913043,203.092227391304,,64.3140982608696,172.326086956522,,,187.608143913044,,279.542366956522,6.26051347826087,,,12.4294369565217,,359.738633043478,,,,,386.342391304348,484.189619130435,,,,,,,,306.164204347826,,191.76523173913,,138.495459130435,448.528278260869,34.6596926086956,,65.9397060377228,2301.09965464063,,,238.780375652174,29.4258860869565,,29.2282608695652,,275.894400434783,,197.506642608696,,582.84391826087,174.826776086957,65.1483514095994,343.623346434783,,37.2543256521739,507.945057391304,244.783350434783,,3.88429565217391,301.947080434782,106.389275714286,69.50522,,6.48129560613973,10.73291,,,106.572836956522,210.21039,67.1576086956522,,,,,,,,,,,,,
Sep-90,,203.38125,,,173.4645485,18.75,,100.915,,418.462611,,131.0417875,79.1761195,203.5046925,152.6232725,102.123826,192.236048,,66.467112631579,182.375,,,191.958981,,278.3674135,6.14134315789474,,,13.22058,,348.010582,,,,,366.3125,488.6508495,,,,,,,,380.111435,,212.3093665,,117.9452545,426.052469,33.8682165,,61.6492306027555,2584.29902961189,,,223.859889,30.266069,,33.3,,290.1179205,,194.943498,,555.391701,186.527393,67.6279343620386,355.0594992,,35.979211,539.911021,224.513136,,3.8862785,291.6394535,110.402110526316,73.3543742105263,,6.24353311033912,11.5615735,,,101.2425015,203.6251495,84.40625,,,,,,,,,,,,,
Aug-90,,203.107954545455,,,202.900085,21.6454545454545,,108.409090909091,,450.429820454546,,129.208114545455,88.4816154545454,210.266382727273,166.416418181818,104.624598181818,220.40025,,73.5952945454546,180.386363636364,,,198.556434545455,,293.447227272727,6.15250727272727,,,13.7767745454545,,362.623296818182,,,,,374.971590909091,552.226686363636,,,,,,,,458.388468181818,,246.082500454545,,122.852722272727,448.586080909091,34.9525936363636,,64.0410823012201,2832.12943696469,,,229.777818181818,30.4140136363636,,41.7840909090909,,304.474475909091,,204.954706818182,,566.989008636364,202.964375909091,72.6666889364433,418.722077454545,,40.2199577272727,542.600723043478,240.935441363636,,3.89958454545454,283.884140454545,122.449590909091,85.3577436363636,,7.27125905336013,11.621195,,,105.170145,213.377117727273,97.6846590909091,,,,,,,,,,,,,
Jul-90,,205.602272727273,,,215.246549545454,24.0545454545455,,116.540909090909,,486.789961818182,,129.622626363636,97.4484663636364,240.160032272727,202.597216363636,104.146080454545,241.591906818182,,86.5739563636364,164.295454545455,,,209.43353,,285.817439090909,6.34127545454545,,,14.9997772727273,,403.679541363636,,,,,417.909090909091,609.838705454545,,,,,,,,529.168690909091,,280.09281,,130.459571363636,471.267975,38.5428722727273,,69.24982839922,2978.87321950982,,,238.755482272727,30.4734881818182,,47.0454545454546,,332.210122272727,,224.204716818182,,605.554631363636,228.776708181818,79.8909028153576,460.177478181818,,43.7737486363637,542.796708636364,267.456191363636,,4.02560181818182,290.090173636364,130.104556818182,91.8657290909091,,8.11054675075152,11.4633618181818,,,120.994082727273,231.796982272727,110.586647727273,,,,,,,,,,,,,
Jun-90,,204.361111111111,,,201.934296470588,24.5384615384615,,117.842380952381,,490.1169205,,130.972650952381,97.8281628571429,249.925611111111,203.564265,103.081592631579,248.4304945,,97.5368007142857,161.9125,,,205.32292368421,,271.336821666667,6.09337,,,15.9336315384615,,398.228358,,,,,404.85,619.656968235294,,,,,,,,563.739995,,260.94958,,130.129358571429,455.711108421053,38.0621233333333,,69.8938010242888,2851.43112789181,,,235.46520047619,28.4178858333333,,58.40625,,331.442140952381,,219.544383809524,,607.228791904762,230.268831,78.2580211897279,474.053258526316,,46.0700611764706,552.552050476191,266.942206315789,,3.98682909090909,280.990966666667,130.656378888889,93.4423433333333,,8.37923203388577,11.3708033333333,,,120.435311764706,265.285568421053,119.144736842105,,,,,,,,,,,,,
May-90,,193.0125,,,189.757621111111,22.8714285714286,,112.513888888889,,,,124.1663235,93.7181005,240.443666,193.102612631579,97.424544,259.512087777778,,91.3553964285714,159.238095238095,,,186.845710952381,,252.861548181818,6.29346222222222,,,15.64163125,,348.963884736842,,,,,396.035714285714,620.74018,,,,,,,,511.932705555556,,244.212925555555,,109.6008325,433.284333157895,34.4463682352941,,66.486576133116,2641.53756159013,,,207.753531904762,26.487921,,66.875,,301.553804285714,,199.852689,,556.720629047619,208.1349155,66.9331937523473,448.8223032,,43.9846488888889,566.775874782609,248.607597,,3.767041,263.58734,121.65515375,86.9560371428571,,8.03746533816301,11.175756,,,118.32149,255.153057333333,118.00625,,,,,,,,,,,,,
Apr-90,,193.966666666667,,,200.662696875,22.15,,109.634736842105,,,,124.936931111111,94.8812058823529,251.963254444444,194.11164,95.1228288888889,277.451403529412,,89.155966,158.026315789474,,,181.087687333333,,264.548460833333,6.15707166666667,,,15.797428,,332.291920588235,,,,,390.352941176471,653.629715263158,,,,,,,,500.505547058824,,264.973566428571,,105.115543888889,438.628086470588,33.6359506666667,,64.8831761843288,2403.23985232995,,,196.948779444444,26.168985,,73.5,,288.448126,,191.579033076923,,536.384171666667,199.005223846154,65.5333634121056,441.5009565,,44.7057526666667,571.517672380952,242.949002352941,,3.65216875,247.109725555556,125.699777272727,91.660603,,8.26560115980649,11.2621042857143,,,126.364774210526,238.921307058824,130.203125,,,,,,,,,,,,,
Mar-90,,195.888888888889,,,202.840491578947,22.8828571428571,,111.472,,,,118.924066666667,100.430861,264.465990909091,194.843184736842,100.3955905,259.298070555556,,102.91097,167.738636363636,,,194.965015909091,,272.132165555555,6.2376175,,,16.44535,,336.1165645,,,,,374.602272727273,607.145641666667,,,,,,,,483.709231578947,,298.306224615385,,104.804415238095,425.781470454546,34.402025,,67.2424317698934,2515.47043729036,,,197.508612,26.190794,,98.7058823529412,,290.160567727273,,192.690198,,523.493563157895,200.638557,62.1554613794379,439.90038,,47.3172533333333,579.728878181818,235.357197368421,,3.518881,253.92138,137.34494125,102.536218888889,,7.84337265466477,11.4963485714286,,,126.2868355,251.310721764706,138.333333333333,,,,,,,,,,,,,
Feb-90,,199,,,206.583914705882,23.5169230769231,,113.8725,,,,125.623151764706,97.5339494736842,263.660318125,188.462887857143,104.374424736842,285.279242222222,,106.262641,170.9375,,,210.232502631579,,279.352768571429,5.96273818181818,,,17.6913530769231,,329.1394155,,,,,354.657894736842,674.968464705882,,,,,,,,474.774925,,318.629306428571,,103.038194210526,443.26329875,36.3263242105263,,68.4888103004862,2588.94109676666,,,206.661859444444,26.8699414285714,,100.8125,,310.8078885,,204.704003157895,,543.767477222222,211.673804,61.8685390799439,425.2783392,,50.9143376470588,563.969523,251.532292631579,,3.35246833333333,256.656648235294,143.031221,106.021131818182,,8.54673117226599,11.60658,,,122.664124444444,245.952772222222,148.25,,,,,,,,,,,,,
Jan-90,,204.916666666667,,,227.481026190476,21.0586666666667,,117.9885,,,,134.206683333333,97.6657535,269.989619473684,205.9979825,105.72999,304.529144210526,,112.7028,165.590909090909,,,207.726419,,280.478056666667,5.38775,,,22.820705,,334.050866190476,,,,,380.386363636364,707.769467647059,,,,,,,,521.191475,,329.752601764706,,109.013498571429,466.675835263158,37.920667,,65.8991235656724,2833.64751139112,,,202.494060526316,27.4900176923077,,94.7352941176471,,319.991702105263,,214.3699495,,580.026951428571,222.976023333333,63.6976544957002,460.179266285714,,53.2714122222222,564.040558695652,261.369131,,3.15859,257.233405882353,138.958178571429,96.9676738461539,,9.14300715024811,11.6984471428571,,,135.015981,285.357985,141.452380952381,,,,,,,,,,,,,
Dec-89,,209.638888888889,,,208.841241052632,19.6933333333333,,118.32,,,,134.983164736842,96.3537272222222,272.273422631579,207.558331111111,106.01893375,297.092756666667,,105.72176875,163.855263157895,,,202.117044210526,,271.006877777778,5.350995,,,21.4819975,,333.778951764706,,,,,391.973684210526,713.987922307692,,,,,,,,504.146082352941,,344.742235,,109.26335625,474.775051052632,37.796894375,,63.1073251737262,2759.81373918499,,,201.420847647059,26.365253,,81.875,,326.629312941176,,215.044347647059,,591.697006470588,220.282143333333,59.4035949437196,466.932338666667,,51.97140625,579.94827047619,264.349088947368,,2.7579075,259.774338333333,132.388851666667,93.966545,,9.20016623745861,11.4422533333333,,,137.691879166667,288.283262777778,137.565789473684,,,,,,,,,,,,,
